Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	42	2446	2026-02-27	36300	㈱ﾘｸﾙーﾄｶｰｾﾝｻｰ 1月分 ㈱ﾘｸﾙーﾄｶｰｾﾝｻｰ 1月分	広島銀行② カーセンサー費用CB 仕課内10	IT費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	42	2447	2026-02-27	11000	三菱ふそう中国地区販売㈱ 1月分 三菱ふそう中国地区販売㈱ 1月分	広島銀行② 社用車 本社 仕共内10	社用車維持費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	42	2448	2026-02-27	9757	福山通運㈱ １月分 福山通運㈱ １月分	広島銀行② CB 仕課内10	荷造包装費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	42	2449	2026-02-27	682	ｴﾇｼﾞｪｲﾋﾞｨ事業協同組合 1月分 ｴﾇｼﾞｪｲﾋﾞｨ事業協同組合 1月分	広島銀行② CB 仕課内10	業務委託費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	42	2450	2026-02-27	8840	㈲AIｸﾘｰﾝｻｰﾋﾞｽ 1月分 ㈲AIｸﾘｰﾝｻｰﾋﾞｽ 1月分	広島銀行② AIクリーン31 CB-整備 仕課内10	事務所維持費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2451	2026-02-27	62150	ｱﾐｭｰｽﾞ 1月分 ｱﾐｭｰｽﾞ 1月分	広島銀行② 車両	買掛金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2452	2026-02-27	33462	ｳﾙﾄｼﾞｬﾊﾟﾝ㈱ 1月分 ｳﾙﾄｼﾞｬﾊﾟﾝ㈱ 1月分	広島銀行② 車両	買掛金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2453	2026-02-27	1779030	幸陽板金塗装(有) 1月分 買掛金 車両	中国銀行	諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2454	2026-02-27	8800	㈲清水自動車ｶﾞﾗｽ 1月分 ㈲清水自動車ｶﾞﾗｽ 1月分	広島銀行② 車両	買掛金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2455	2026-02-27	351028	東邦自動車㈱ 1月分 東邦自動車㈱ 1月分	広島銀行② 車両	買掛金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2456	2026-02-27	172271	㈱福山自動車用品商会 1月分 ㈱福山自動車用品商会 1月分	広島銀行② 車両	買掛金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2457	2026-02-27	63800	㈱ﾏｳﾝﾄﾌﾞｯｸ 1月分 ㈱ﾏｳﾝﾄﾌﾞｯｸ 1月分	広島銀行② 車両	買掛金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2458	2026-02-27	128167	ﾘｺｰｼﾞｬﾊﾟﾝ㈱ 1月分 ﾘｺｰｼﾞｬﾊﾟﾝ㈱ 1月分	中国銀行 ﾘｺｰ 本社 仕共内10	事務所維持費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2460	2026-02-27	67440	本社 賃借料 住吉町家賃（三和	吉町家賃 もみじ福山支店	DF.ア－クシステムSP 三和地所様 住 諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2411	2026-02-28	500000	㈱ﾈｵｸﾞﾘｯﾄ様 ZN6CW82C007437795 ㈱ﾈｵｸﾞﾘｯﾄ様 ZN6CW82C007437795	広島銀行② その他	前受金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2398	2026-03-02	32575	融資利息 融資利息	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2399	2026-03-02	2200	ﾋﾞｰﾌｨｰﾙﾄﾞ ﾋﾞｰﾌｨｰﾙﾄﾞ	もみじ福山支店 コアシステムス゛本社 仕共内10	事務所維持費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	43	2414	2026-03-02	122630	CB リース料（販） その他	W82C007437795 中国銀行	ﾘｰｽ ㈱NEO-GRIT様 ｼﾞｬｶﾞｰFﾍﾟｰｽ ZN6C 諸口	embedded_text
